dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Iris,811,max,mult,0.0,False,False,0.001,32,0.8645833134651184,0.81 +- 0.015,0.875,0.844 +- 0.045,0.81,0.844,0.8645833134651184,0.81,0.054583313465118355
Iris,331,l2,None,0.5,False,False,0.001,32,0.8229166865348816,0.807 +- 0.027,0.8333333134651184,0.833 +- 0.098,0.807,0.833,0.8229166865348816,0.807,0.01591668653488154
Iris,307,l2,None,0.0,False,False,0.001,32,0.8229166865348816,0.805 +- 0.072,0.7916666865348816,0.823 +- 0.062,0.805,0.823,0.7916666865348816,0.805,-0.013333313465118457
Iris,583,max,None,0.0,True,False,0.001,32,0.7916666865348816,0.805 +- 0.028,0.7916666865348816,0.812 +- 0.063,0.805,0.812,0.7916666865348816,0.805,-0.013333313465118457
Iris,704,max,loss,1.0,True,False,0.001,64,0.8333333134651184,0.805 +- 0.068,0.9166666865348816,0.823 +- 0.09,0.805,0.823,0.8333333134651184,0.805,0.02833331346511836
Iris,893,var,None,0.5,True,True,0.1,32,0.8854166865348816,0.804 +- 0.05,0.9166666865348816,0.906 +- 0.035,0.804,0.906,0.8854166865348816,0.804,0.08141668653488154
Iris,48,l1,None,0.5,False,False,0.1,64,0.8229166865348816,0.82 +- 0.005,0.7916666865348816,0.802 +- 0.018,0.82,0.802,0.7916666865348816,0.802,-0.010333313465118454
Iris,132,l1,loss,1.0,True,False,0.1,64,0.8229166865348816,0.826 +- 0.005,0.7916666865348816,0.802 +- 0.018,0.826,0.802,0.7916666865348816,0.802,-0.010333313465118454
Iris,203,l1,avg,1.0,True,False,0.1,32,0.8229166865348816,0.826 +- 0.005,0.7916666865348816,0.802 +- 0.018,0.826,0.802,0.7916666865348816,0.802,-0.010333313465118454
Iris,273,l1,mult,1.0,True,False,0.01,32,0.8229166865348816,0.826 +- 0.005,0.7916666865348816,0.802 +- 0.018,0.826,0.802,0.7916666865348816,0.802,-0.010333313465118454
Iris,287,l1,mult,1.0,False,False,0.1,32,0.8229166865348816,0.826 +- 0.005,0.7916666865348816,0.802 +- 0.018,0.826,0.802,0.7916666865348816,0.802,-0.010333313465118454
Iris,1076,var,avg,1.0,False,False,0.001,64,0.8125,0.799 +- 0.015,0.75,0.812 +- 0.086,0.799,0.812,0.75,0.799,-0.049000000000000044
Iris,536,l2,mult,0.5,True,False,0.001,64,0.8125,0.799 +- 0.066,0.875,0.833 +- 0.121,0.799,0.833,0.8125,0.799,0.013499999999999956
Iris,59,l1,None,1.0,True,False,0.1,32,0.8125,0.81 +- 0.011,0.7916666865348816,0.792 +- 0.0,0.81,0.792,0.7916666865348816,0.792,-0.0003333134651184455
Iris,344,l2,None,1.0,True,False,0.001,64,0.8229166865348816,0.792 +- 0.055,0.7916666865348816,0.792 +- 0.051,0.792,0.792,0.7916666865348816,0.792,-0.0003333134651184455
Iris,488,l2,avg,1.0,True,False,0.001,64,0.8333333134651184,0.81 +- 0.05,0.8333333134651184,0.792 +- 0.072,0.81,0.792,0.8333333134651184,0.792,0.04133331346511837
