dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Ecoli,95,l1,loss,0.0,False,False,0.1,32,0.8558139801025391,0.825 +- 0.029,0.7735849022865295,0.755 +- 0.044,0.825,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,319,l2,None,0.5,True,False,0.001,32,0.8511627912521362,0.832 +- 0.021,0.7735849022865295,0.755 +- 0.036,0.832,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,325,l2,None,0.5,False,True,0.001,32,0.8505814075469971,0.828 +- 0.016,0.7735849022865295,0.755 +- 0.04,0.828,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,425,l2,loss,1.0,False,True,0.1,32,0.8372092843055725,0.815 +- 0.015,0.7735849022865295,0.755 +- 0.033,0.815,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,533,l2,mult,0.5,True,True,0.1,32,0.8494185805320741,0.828 +- 0.016,0.7735849022865295,0.755 +- 0.033,0.828,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,538,l2,mult,0.5,True,False,0.01,64,0.8651162981987,0.841 +- 0.018,0.7735849022865295,0.755 +- 0.039,0.841,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,622,max,None,0.5,False,False,0.01,64,0.8558139801025391,0.839 +- 0.015,0.7735849022865295,0.755 +- 0.036,0.839,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,850,max,mult,1.0,True,False,0.01,64,0.8558139801025391,0.838 +- 0.009,0.7735849022865295,0.755 +- 0.035,0.838,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,868,var,None,0.0,True,True,0.01,64,0.8552325367927551,0.824 +- 0.018,0.7735849022865295,0.755 +- 0.039,0.824,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,949,var,loss,0.0,False,True,0.001,32,0.8558139801025391,0.825 +- 0.017,0.7735849022865295,0.755 +- 0.033,0.825,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,963,var,loss,0.5,True,True,0.01,32,0.8389534950256348,0.819 +- 0.015,0.7735849022865295,0.755 +- 0.036,0.819,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,1048,var,avg,0.5,False,True,0.01,64,0.8534883856773376,0.83 +- 0.016,0.7735849022865295,0.755 +- 0.039,0.83,0.755,0.7735849022865295,0.755,0.018584902286529537
Ecoli,227,l1,mult,0.0,True,False,0.1,32,0.8558139801025391,0.831 +- 0.025,0.7924528121948242,0.755 +- 0.044,0.831,0.755,0.7924528121948242,0.755,0.037452812194824214
Ecoli,803,max,mult,0.0,True,False,0.1,32,0.8604651093482971,0.821 +- 0.048,0.7924528121948242,0.755 +- 0.042,0.821,0.755,0.7924528121948242,0.755,0.037452812194824214
Ecoli,815,max,mult,0.0,False,False,0.1,32,0.869767427444458,0.808 +- 0.087,0.8301886916160583,0.755 +- 0.058,0.808,0.755,0.8301886916160583,0.755,0.07518869161605835
Ecoli,77,l1,loss,0.0,True,True,0.1,32,0.8401162624359131,0.816 +- 0.02,0.7735849022865295,0.752 +- 0.033,0.816,0.752,0.7735849022865295,0.752,0.02158490228652954
Ecoli,400,l2,loss,0.5,False,True,0.01,64,0.8476744294166565,0.822 +- 0.017,0.7735849022865295,0.752 +- 0.04,0.822,0.752,0.7735849022865295,0.752,0.02158490228652954
Ecoli,549,l2,mult,0.5,False,False,0.01,32,0.8558139801025391,0.841 +- 0.011,0.7735849022865295,0.752 +- 0.034,0.841,0.752,0.7735849022865295,0.752,0.02158490228652954
Ecoli,986,var,loss,1.0,True,True,0.001,64,0.8459302186965942,0.825 +- 0.013,0.7735849022865295,0.752 +- 0.031,0.825,0.752,0.7735849022865295,0.752,0.02158490228652954
Ecoli,513,l2,mult,0.0,True,False,0.01,32,0.8511627912521362,0.828 +- 0.024,0.7924528121948242,0.752 +- 0.037,0.828,0.752,0.7924528121948242,0.752,0.04045281219482422
Ecoli,578,max,None,0.0,True,True,0.001,64,0.8517441749572754,0.819 +- 0.02,0.7547169923782349,0.749 +- 0.04,0.819,0.749,0.7547169923782349,0.749,0.005716992378234864
Ecoli,322,l2,None,0.5,True,False,0.01,64,0.8604651093482971,0.839 +- 0.014,0.7735849022865295,0.749 +- 0.037,0.839,0.749,0.7735849022865295,0.749,0.024584902286529542
Ecoli,376,l2,loss,0.0,False,True,0.01,64,0.8517441749572754,0.82 +- 0.019,0.7735849022865295,0.749 +- 0.044,0.82,0.749,0.7735849022865295,0.749,0.024584902286529542
Ecoli,754,max,avg,0.5,True,False,0.01,64,0.8604651093482971,0.837 +- 0.011,0.7735849022865295,0.749 +- 0.033,0.837,0.749,0.7735849022865295,0.749,0.024584902286529542
Ecoli,902,var,None,0.5,False,True,0.001,64,0.8505814075469971,0.828 +- 0.014,0.7735849022865295,0.749 +- 0.036,0.828,0.749,0.7735849022865295,0.749,0.024584902286529542
Ecoli,941,var,loss,0.0,True,True,0.1,32,0.8284883499145508,0.803 +- 0.028,0.7735849022865295,0.749 +- 0.036,0.803,0.749,0.7735849022865295,0.749,0.024584902286529542
Ecoli,56,l1,None,1.0,True,False,0.001,64,0.8372092843055725,0.829 +- 0.012,0.7547169923782349,0.747 +- 0.038,0.829,0.747,0.7547169923782349,0.747,0.007716992378234866
Ecoli,147,l1,avg,0.0,True,True,0.01,32,0.8523255586624146,0.823 +- 0.016,0.7547169923782349,0.747 +- 0.035,0.823,0.747,0.7547169923782349,0.747,0.007716992378234866
Ecoli,566,l2,mult,1.0,False,True,0.001,64,0.8383721113204956,0.819 +- 0.013,0.7547169923782349,0.747 +- 0.033,0.819,0.747,0.7547169923782349,0.747,0.007716992378234866
Ecoli,987,var,loss,1.0,True,True,0.01,32,0.8523255586624146,0.828 +- 0.015,0.7547169923782349,0.747 +- 0.033,0.828,0.747,0.7547169923782349,0.747,0.007716992378234866
Ecoli,1057,var,avg,1.0,True,True,0.001,32,0.8436046242713928,0.822 +- 0.013,0.7547169923782349,0.747 +- 0.028,0.822,0.747,0.7547169923782349,0.747,0.007716992378234866
Ecoli,152,l1,avg,0.0,True,False,0.001,64,0.8558139801025391,0.826 +- 0.028,0.7735849022865295,0.747 +- 0.039,0.826,0.747,0.7735849022865295,0.747,0.026584902286529544
