dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Accent,215,l1,avg,1.0,False,False,0.1,32,0.6333333253860474,0.631 +- 0.006,0.698113203048706,0.686 +- 0.022,0.631,0.686,0.6333333253860474,0.631,0.002333325386047358
Accent,202,l1,avg,1.0,True,False,0.01,64,0.6476190686225891,0.631 +- 0.016,0.6792452931404114,0.664 +- 0.017,0.631,0.664,0.6476190686225891,0.631,0.016619068622589106
Accent,131,l1,loss,1.0,True,False,0.1,32,0.6428571343421936,0.629 +- 0.013,0.698113203048706,0.681 +- 0.014,0.629,0.681,0.6428571343421936,0.629,0.0138571343421936
Accent,206,l1,avg,1.0,False,True,0.001,64,0.6432234644889832,0.628 +- 0.023,0.698113203048706,0.693 +- 0.017,0.628,0.693,0.6432234644889832,0.628,0.015223464488983152
Accent,327,l2,None,0.5,False,True,0.01,32,0.6487179398536682,0.627 +- 0.02,0.7358490824699402,0.728 +- 0.02,0.627,0.728,0.6487179398536682,0.627,0.02171793985366821
Accent,144,l1,loss,1.0,False,False,0.1,64,0.6285714507102966,0.626 +- 0.005,0.6792452931404114,0.665 +- 0.011,0.626,0.665,0.6285714507102966,0.626,0.00257145071029663
Accent,284,l1,mult,1.0,False,False,0.001,64,0.6380952596664429,0.625 +- 0.014,0.6415094137191772,0.638 +- 0.024,0.625,0.638,0.6380952596664429,0.625,0.013095259666442871
Accent,121,l1,loss,1.0,True,True,0.001,32,0.636996328830719,0.623 +- 0.013,0.6603773832321167,0.67 +- 0.018,0.623,0.67,0.636996328830719,0.623,0.013996328830718996
Accent,1150,var,mult,1.0,False,False,0.01,64,0.6428571343421936,0.623 +- 0.021,0.7169811129570007,0.692 +- 0.018,0.623,0.692,0.6428571343421936,0.623,0.019857134342193605
Accent,294,l2,None,0.0,True,True,0.1,64,0.6468864679336548,0.623 +- 0.022,0.7169811129570007,0.709 +- 0.027,0.623,0.709,0.6468864679336548,0.623,0.023886467933654787
Accent,51,l1,None,1.0,True,True,0.01,32,0.6278388500213623,0.621 +- 0.003,0.698113203048706,0.686 +- 0.012,0.621,0.686,0.6278388500213623,0.621,0.006838850021362308
Accent,7,l1,None,0.0,True,False,0.001,32,0.6285714507102966,0.621 +- 0.013,0.698113203048706,0.679 +- 0.013,0.621,0.679,0.6285714507102966,0.621,0.007571450710296634
Accent,101,l1,loss,0.5,True,True,0.1,32,0.6380952596664429,0.621 +- 0.016,0.7169811129570007,0.704 +- 0.019,0.621,0.704,0.6380952596664429,0.621,0.017095259666442875
Accent,971,var,loss,0.5,True,False,0.1,32,0.6380952596664429,0.621 +- 0.018,0.7358490824699402,0.723 +- 0.028,0.621,0.723,0.6380952596664429,0.621,0.017095259666442875
Accent,208,l1,avg,1.0,False,True,0.01,64,0.6304029226303101,0.62 +- 0.007,0.6792452931404114,0.671 +- 0.009,0.62,0.671,0.6304029226303101,0.62,0.010402922630310063
Accent,740,max,avg,0.0,False,False,0.001,64,0.6428571343421936,0.62 +- 0.026,0.7169811129570007,0.703 +- 0.029,0.62,0.703,0.6428571343421936,0.62,0.022857134342193608
Accent,279,l1,mult,1.0,False,True,0.01,32,0.6238095164299011,0.619 +- 0.003,0.6792452931404114,0.676 +- 0.007,0.619,0.676,0.6238095164299011,0.619,0.004809516429901128
Accent,420,l2,loss,1.0,True,False,0.1,64,0.6333333253860474,0.619 +- 0.016,0.7169811129570007,0.715 +- 0.022,0.619,0.715,0.6333333253860474,0.619,0.014333325386047369
Accent,866,var,None,0.0,True,True,0.001,64,0.636996328830719,0.619 +- 0.016,0.698113203048706,0.686 +- 0.019,0.619,0.686,0.636996328830719,0.619,0.017996328830719
Accent,143,l1,loss,1.0,False,False,0.1,32,0.6190476417541504,0.617 +- 0.002,0.6792452931404114,0.668 +- 0.016,0.617,0.668,0.6190476417541504,0.617,0.0020476417541503977
Accent,443,l2,avg,0.0,True,False,0.1,32,0.6380952596664429,0.617 +- 0.019,0.7358490824699402,0.725 +- 0.027,0.617,0.725,0.6380952596664429,0.617,0.021095259666442878
Accent,196,l1,avg,1.0,True,True,0.01,64,0.6304029226303101,0.616 +- 0.023,0.7169811129570007,0.706 +- 0.021,0.616,0.706,0.6304029226303101,0.616,0.014402922630310067
Accent,905,var,None,0.5,False,True,0.1,32,0.6311355233192444,0.616 +- 0.014,0.7358490824699402,0.728 +- 0.026,0.616,0.728,0.6311355233192444,0.616,0.015135523319244393
Accent,203,l1,avg,1.0,True,False,0.1,32,0.6190476417541504,0.615 +- 0.007,0.6792452931404114,0.656 +- 0.014,0.615,0.656,0.6190476417541504,0.615,0.0040476417541503995
