dataset,n_epochs,reg_type,weight_type,alpha,lr,verbose,full_score,partial_score
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.6763636469841003,0.6572727411985397 +- 0.029019797452350046
Banknote,300,l1,None,2,0.01,False,0.614545464515686,0.608181819319725 +- 0.011022156800746055
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.01,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,2,0.1,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,5,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
Banknote,300,l1,None,5,0.001,False,0.589090883731842,0.589090883731842 +- 0.0
